ABCA1
ABCA7
ADAM17
ADAMTS1
ANK3
ANKH
APH1B
APOE
APP
ATP8B1
BACE1
BAG2
BDNF
BHLHE40
BIN1
CASP7
CD33
CD59
CEBPB
CLU
COX7C
CREB3L4
CX3CR1
DDIT4
DNAJA1
DNAJB4
DNAJB6
DOC2A
EED
EGR1
EPDR1
FBXL7
FERMT2
FOXF1
GRID2
GRIN2B
HBP1
HS3ST2
HS3ST5
HSP90AA1
HSP90AB1
HSPA1L
HSPA8
HSPH1
IDUA
IER5
IL1B
IL34
INPP5D
JAZF1
LRIG1
MAPK14
MAPT
MINDY2
NCK2
NEAT1
NYAP1
PER1
PICALM
PILRA
PLCG2
PLD3
PRKD3
PRNP
PSEN2
PTK2B
PVR
RAB10
REST
RORB
SERTAD1
SHARPIN
SIRPA
SLC44A1
SNX1
SOD1
SORL1
SORT1
SPDYE3
SPI1
SPP1
SREBF1
TMEM41A
TNFRSF1A
TNIP1
TOMM40
TPCN1
TREM2
TSPAN14
TSPOAP1
TYROBP
USP6NL
WDR12
WDR81
ZBTB11
ZBTB7A
ZC3H10
ZCWPW1
ZNF184
