ABCA1
ANK3
APOE
BAG2
BDNF
BIN1
CASP7
CD33
CX3CR1
DDIT4
DNAJB4
FERMT2
GRID2
GRIN2B
IL1B
IL34
LRIG1
MAPT
PILRA
PLCG2
PRKD3
SREBF1
TNFRSF1A
TSPOAP1
TYROBP
ZNF184
BDNF
CLU
COX7C
DLGAP2
DNAJA1
DNAJB6
DOC2A
EED
EGR1
HSP90AB1
HSPA1L
HSPH1
JAZF1
MAPK14
PILRA
PER1
PLD3
PRNP
PTK2B
RORB
SIRPA
TNFRSF1A
TSPAN14
ZBTB11
ZNF184
ABCA7
ADAM17
ADAMTS1
ANKH
APP
ATP8B1
BACE1
BHLHE40
CEBPB
CREB3L4
FOXF1
HS3ST2
HS3ST5
HSPA1L
HSPA8
IER5
NCK2
NEAT
PER1
PTK2B
RAB10
SHARPIN
SLC44A1
SOD1
SORL1
SORT1
SPI1
SPP1
TMEM41A
TOMM40
TREM2
WDR12
WDR81
ZC3H10
ZCWPW1
ABCA7
APH1B
CD59
CREB3L4
EPDR1
FBXL7
HBP1
HSP90AA1
HSPA8
IDUA
INPP5D
MINDY2
NEAT1
NYAP1
PICALM
PSEN2
PVR
REST
SERTAD1
SNX1
SPDYE3
TMEM41A
TNIP1
TPCN1
USP6NL
ZBTB7A
ZC3H10
ZCWPW1
